ID (frame),Elapsed Time,Angle left eye,Angle right eye,Block seen,Reaction time block,On Target
114,0.01657889,32.90337,32.70798,,,Looking at Target
115,0.01655398,32.90256,32.69874,,,Looking at Target
116,0.0167598,32.84717,32.6309,TRUE,1.245833,Looking at Target
117,0.01637307,32.71683,32.53081,,,Not looking at Target
118,0.01662634,32.50407,32.67019,,,Not looking at Target
119,0.0169861,32.28865,32.69258,,,Not looking at Target
120,0.01608669,32.16247,32.60424,,,Not looking at Target
121,0.01690453,32.06211,32.4701,,,Not looking at Target
122,0.0169902,31.95501,32.36811,,,Not looking at Target
123,0.01599248,31.90394,32.30756,,,Not looking at Target
124,0.01637955,31.88935,32.2941,,,Not looking at Target
125,0.01661303,31.80074,32.2564,,,Not looking at Target
126,0.01652018,31.79434,32.07091,,,Not looking at Target
127,0.01656695,23.92346,21.92914,,,Not looking at Target
128,0.01689463,15.65177,16.43359,,,Not looking at Target
129,0.01623824,12.81321,11.98923,,,Not looking at Target
130,0.01675195,15.98587,12.73034,,,Not looking at Target
131,0.01700351,21.10616,17.36612,,,Not looking at Target
132,0.01594504,24.8469,21.89405,,,Not looking at Target
133,0.01703526,27.73423,25.65184,,,Not looking at Target
134,0.0160983,30.50375,28.31724,,,Not looking at Target
135,0.0165666,31.31235,28.3287,,,Not looking at Target
136,0.01656626,31.10078,28.22886,,,Not looking at Target
137,0.01674956,30.80999,27.99694,,,Not looking at Target
138,0.01638433,30.50689,27.59011,,,Not looking at Target
139,0.01660483,30.00609,27.10359,,,Not looking at Target
140,0.01652803,29.31656,26.34283,,,Not looking at Target
141,0.01656626,28.48004,25.56235,,,Not looking at Target
142,0.01688848,27.87886,24.94694,,,Not looking at Target
143,0.01624609,29.89602,26.46784,,,Not looking at Target
144,0.0167441,31.83223,28.05561,,,Not looking at Target
145,0.01699361,31.44169,27.71294,,,Not looking at Target
146,0.0160017,31.15207,27.49245,,,Not looking at Target
147,0.01652633,30.92151,27.4906,,,Not looking at Target
148,0.01745578,30.7573,27.45088,,,Not looking at Target
149,0.01599999,31.11152,27.43591,,,Not looking at Target
150,0.01698781,31.49788,27.35216,,,Not looking at Target
151,0.01599658,31.57271,27.38535,,,Not looking at Target
152,0.01639321,32.01219,27.35946,,,Not looking at Target
153,0.01659391,31.63497,27.18017,,,Not looking at Target
154,0.0170001,30.90842,26.91017,,,Not looking at Target
155,0.0161058,30.70098,26.65452,,,Not looking at Target
156,0.01658538,30.36202,26.37652,,,Not looking at Target
157,0.0172933,30.15588,25.97442,,,Not looking at Target
158,0.01599078,30.11717,26.13601,,,Not looking at Target
159,0.01639867,30.09405,26.22377,,,Not looking at Target
160,0.01659528,30.22862,26.29886,,,Not looking at Target
161,0.01653691,30.3114,26.38734,,,Not looking at Target
162,0.01656695,30.42063,26.53569,,,Not looking at Target
163,0.01659186,30.48924,26.64075,,,Not looking at Target
164,0.01654135,30.71177,26.8363,,,Looking at Target
165,0.01656763,30.90485,27.00874,,,Looking at Target
166,0.01715916,31.07767,27.07699,,,Looking at Target
167,0.01599658,30.77673,27.16265,,,Looking at Target
168,0.01699498,30.46758,27.26205,,,Looking at Target
169,0.01611502,30.65941,27.41943,,,Looking at Target
170,0.03521193,30.80616,27.29882,,,Looking at Target
171,0.01664818,31.06184,27.48567,,,Looking at Target
172,0.01648571,31.176,27.52826,,,Looking at Target
173,0.01656729,31.0984,27.56283,,,Looking at Target
174,0.01656626,31.18786,27.63518,,,Looking at Target
175,0.01722845,31.26299,27.6616,,,Looking at Target
176,0.01656797,31.00385,27.63602,,,Looking at Target
177,0.01657787,30.82115,27.62173,,,Looking at Target
178,0.01697109,30.70516,27.59779,,,Looking at Target
179,0.01615052,30.71479,27.61104,,,Looking at Target
180,0.0168366,30.69719,27.55305,,,Looking at Target
181,0.01629695,30.6323,27.35007,,,Looking at Target
182,0.01656695,30.52665,27.24144,,,Looking at Target
183,0.01982497,30.43518,27.1194,,,Looking at Target
184,0.01656968,30.43533,27.04529,,,Looking at Target
185,0.01671474,30.41743,26.92904,,,Looking at Target
186,0.01641813,30.4958,26.94167,,,Looking at Target
187,0.01657138,30.60451,26.97638,,,Looking at Target
188,0.01699669,30.62098,27.03051,,,Looking at Target
189,0.01613004,30.6108,27.01518,,,Looking at Target
190,0.01685606,30.54001,26.9245,TRUE,1.231741,Looking at Target
191,0.0169943,30.46226,26.81685,,,Not looking at Target
192,0.01584878,30.41225,26.73607,,,Not looking at Target
193,0.01714209,30.38348,26.68828,,,Not looking at Target
194,0.01599351,30.33688,26.61481,,,Not looking at Target
195,0.01699703,30.23593,26.51412,,,Not looking at Target
196,0.01613482,30.1305,26.40766,,,Not looking at Target
197,0.01685128,30.06268,26.36501,,,Not looking at Target
198,0.01628227,30.05271,26.36518,,,Not looking at Target
