ID (frame),Elapsed Time,Angle left eye,Angle right eye,Block seen,Reaction time block,On Target
113,0.01662296,eye closed,eye closed,,,Not looking at Target
114,0.01701106,eye closed,eye closed,,,Not looking at Target
115,0.01606624,eye closed,eye closed,,,Not looking at Target
116,0.0169049,eye closed,eye closed,,,Not looking at Target
117,0.01622769,eye closed,eye closed,,,Not looking at Target
118,0.01676632,eye closed,eye closed,,,Not looking at Target
119,0.01636832,eye closed,eye closed,,,Not looking at Target
120,0.01662432,eye closed,eye closed,,,Not looking at Target
121,0.0169974,eye closed,eye closed,,,Not looking at Target
122,0.01607819,eye closed,eye closed,,,Not looking at Target
123,0.01690592,eye closed,eye closed,,,Not looking at Target
124,0.01622633,eye closed,eye closed,,,Not looking at Target
125,0.01677417,eye closed,eye closed,,,Not looking at Target
126,0.01635877,eye closed,eye closed,,,Not looking at Target
127,0.01661886,50.45601,eye closed,,,Not looking at Target
128,0.01699126,50.4794,eye closed,,,Not looking at Target
129,0.0160898,50.64096,eye closed,,,Not looking at Target
130,0.01690012,eye closed,eye closed,,,Not looking at Target
131,0.01623384,eye closed,eye closed,,,Not looking at Target
132,0.01656596,eye closed,eye closed,,,Not looking at Target
133,0.016568,eye closed,eye closed,,,Not looking at Target
134,0.01661409,eye closed,eye closed,,,Not looking at Target
135,0.01651783,eye closed,eye closed,,,Not looking at Target
136,0.01656732,eye closed,eye closed,,,Not looking at Target
137,0.01689842,eye closed,eye closed,,,Not looking at Target
138,0.01623384,eye closed,eye closed,,,Not looking at Target
139,0.01656698,eye closed,eye closed,,,Not looking at Target
140,0.01656732,eye closed,eye closed,,,Not looking at Target
141,0.01662193,eye closed,eye closed,,,Not looking at Target
142,0.01651066,eye closed,eye closed,,,Not looking at Target
143,0.01656903,eye closed,eye closed,,,Not looking at Target
144,0.0169008,56.28231,eye closed,,,Not looking at Target
145,0.01623008,57.51915,eye closed,,,Not looking at Target
146,0.01675267,58.46804,eye closed,,,Not looking at Target
147,0.01699331,58.90394,eye closed,,,Not looking at Target
148,0.01599251,59.13987,eye closed,,,Not looking at Target
