ID (frame),Elapsed Time,Angle left eye,Angle right eye,Block seen,Reaction time block,On Target
114,0.01668745,48.64721,46.90152,,,Looking at Target
115,0.01697314,48.65091,46.90089,,,Looking at Target
116,0.01603926,48.71724,46.87089,,,Looking at Target
117,0.01656832,48.69326,46.82291,TRUE,0,Looking at Target
118,0.01656457,48.68832,46.70573,,,Not looking at Target
119,0.01656627,48.76833,46.9242,,,Not looking at Target
120,0.01656696,48.73897,46.92733,,,Not looking at Target
121,0.0165673,eye closed,45.18399,,,Not looking at Target
122,0.01695505,eye closed,53.37408,,,Not looking at Target
123,0.01617818,eye closed,eye closed,,,Not looking at Target
124,0.01656662,eye closed,eye closed,,,Not looking at Target
125,0.01656593,eye closed,eye closed,,,Not looking at Target
126,0.0165673,eye closed,eye closed,,,Not looking at Target
127,0.01700113,eye closed,eye closed,,,Not looking at Target
128,0.01613244,eye closed,eye closed,,,Not looking at Target
129,0.01656662,eye closed,eye closed,,,Not looking at Target
130,0.01656627,eye closed,eye closed,,,Not looking at Target
131,0.01660212,eye closed,eye closed,,,Not looking at Target
132,0.01653214,eye closed,eye closed,,,Not looking at Target
133,0.01656559,48.70027,47.04117,,,Not looking at Target
134,0.01732199,48.74041,47.30132,,,Not looking at Target
135,0.01581193,48.75542,47.3821,,,Not looking at Target
136,0.01656662,48.74642,47.39691,,,Not looking at Target
137,0.01656696,48.73704,47.39848,,,Not looking at Target
138,0.01656627,48.70171,47.39569,,,Not looking at Target
139,0.01656764,48.66801,47.39345,,,Not looking at Target
140,0.0167663,48.52451,47.39402,,,Not looking at Target
141,0.01636694,48.42152,47.40371,,,Not looking at Target
142,0.0165789,48.44466,47.37808,,,Not looking at Target
143,0.01655433,44.51387,43.46954,,,Not looking at Target
144,0.01656662,42.52328,41.91726,,,Looking at Target
145,0.01729912,42.52912,41.77886,,,Looking at Target
146,0.01601093,42.28536,41.77483,,,Looking at Target
147,0.01639083,42.25697,41.75313,,,Looking at Target
148,0.01656525,42.22646,41.71865,,,Looking at Target
149,0.01693867,42.22999,41.6741,,,Looking at Target
150,0.01645602,42.17572,41.66272,,,Looking at Target
151,0.01630481,42.14056,41.68357,,,Looking at Target
152,0.01656832,42.04567,41.82016,,,Looking at Target
153,0.01656662,41.99949,42.02482,,,Looking at Target
154,0.01695744,41.96453,42.09875,,,Looking at Target
155,0.01617477,41.96412,42.09071,,,Looking at Target
156,0.01656559,41.99098,42.1026,,,Looking at Target
157,0.0165673,42.0239,42.21333,,,Looking at Target
158,0.01659768,42.0522,42.19993,,,Looking at Target
159,0.0165359,42.06167,42.25045,,,Looking at Target
160,0.01656662,42.07955,42.25094,,,Looking at Target
161,0.0168093,42.16463,42.24739,,,Looking at Target
162,0.01632427,42.18245,42.24742,,,Looking at Target
163,0.0166185,42.25409,42.23825,,,Looking at Target
164,0.01651542,42.28819,42.1522,,,Looking at Target
165,0.01656627,42.31245,42.16669,,,Looking at Target
166,0.0165673,42.05656,41.50352,,,Looking at Target
167,0.01678268,41.50246,41.37489,,,Looking at Target
168,0.01647924,41.47901,41.08308,,,Looking at Target
169,0.01643828,41.48971,41.03914,,,Looking at Target
170,0.01698031,41.43849,41.06188,,,Looking at Target
171,0.01615394,41.387,41.01787,,,Looking at Target
172,0.01656627,41.38287,41.03059,,,Looking at Target
173,0.01656627,41.39691,41.15328,,,Looking at Target
174,0.01659426,41.38982,41.16139,,,Looking at Target
175,0.0165376,41.40007,41.18304,,,Looking at Target
176,0.01656798,41.40655,41.19948,,,Looking at Target
177,0.0165673,41.42446,41.21812,,,Looking at Target
178,0.01671817,41.4402,41.21614,,,Looking at Target
179,0.01697451,41.44537,41.23676,,,Looking at Target
180,0.01648401,41.4608,41.17464,,,Looking at Target
181,0.01646046,41.44747,41.14791,,,Looking at Target
182,0.01619354,41.44738,41.13259,,,Looking at Target
183,0.01678132,41.44159,41.07006,,,Looking at Target
184,0.01635362,41.43926,41.02938,,,Looking at Target
185,0.016583,41.45207,41.0219,TRUE,0,Looking at Target
186,0.01654989,41.45893,41.0041,,,Not looking at Target
187,0.01656662,41.48659,41.0092,,,Not looking at Target
188,0.01656593,41.50785,40.98002,,,Not looking at Target
189,0.01656696,41.53626,41.01633,,,Not looking at Target
190,0.0165673,41.57822,41.06189,,,Not looking at Target
191,0.01656764,41.62442,41.10678,,,Not looking at Target
192,0.01656593,41.6716,41.17741,,,Not looking at Target
193,0.01656662,41.71306,41.24731,,,Not looking at Target
194,0.01656559,41.7378,41.26663,,,Not looking at Target
195,0.01713835,41.75433,41.27457,,,Not looking at Target
196,0.01599591,41.77518,41.32406,,,Not looking at Target
197,0.01697724,41.7939,41.324,,,Not looking at Target
198,0.01615702,41.80993,41.35542,,,Not looking at Target
199,0.01677688,41.83509,41.38659,,,Not looking at Target
200,0.0169728,41.85461,41.41404,,,Not looking at Target
201,0.01597304,41.87266,41.43747,,,Not looking at Target
202,0.01654375,41.89297,41.46648,,,Not looking at Target
203,0.0165673,41.91406,41.50545,,,Not looking at Target
204,0.01680999,41.93233,41.53044,,,Not looking at Target
205,0.01646387,42.19732,41.86975,,,Not looking at Target
206,0.01642496,52.48097,52.98623,,,Not looking at Target
207,0.01701445,57.51521,61.60413,,,Not looking at Target
208,0.0164748,63.07267,67.72247,,,Not looking at Target
209,0.01621095,64.78181,70.46231,,,Not looking at Target
210,0.01656593,70.28295,79.64342,,,Looking at Target
211,0.01664581,71.25164,79.12101,,,Not looking at Target
212,0.01648709,70.70064,78.31467,,,Not looking at Target
213,0.01656662,70.08104,76.79034,,,Looking at Target
214,0.01687996,69.99924,76.6348,,,Looking at Target
215,0.0162543,69.85435,76.51785,,,Looking at Target
216,0.01669359,69.78256,75.78806,,,Looking at Target
217,0.01646012,69.65965,75.46473,,,Looking at Target
218,0.01697519,69.60706,75.0052,,,Looking at Target
219,0.01613688,69.56669,74.72155,,,Looking at Target
220,0.01656764,69.61607,74.42538,,,Looking at Target
221,0.01656627,69.59579,73.16498,,,Looking at Target
222,0.01664376,69.54364,73.08438,,,Looking at Target
223,0.01648913,69.46842,72.52482,,,Looking at Target
224,0.01693799,69.33733,72.29604,,,Looking at Target
225,0.01619559,67.25426,70.38316,,,Looking at Target
226,0.01656696,66.99257,67.59697,,,Not looking at Target
227,0.01665604,66.83232,67.31851,,,Not looking at Target
228,0.01647719,66.37764,67.41552,,,Not looking at Target
229,0.01656764,66.01198,65.90343,,,Not looking at Target
230,0.01687382,65.78719,65.60403,,,Not looking at Target
231,0.01625805,65.26472,65.79516,,,Not looking at Target
232,0.01720013,64.81995,65.70753,,,Not looking at Target
233,0.01596075,64.59188,65.50216,,,Not looking at Target
234,0.01699089,64.4151,65.3606,,,Not looking at Target
235,0.01611537,64.39371,65.15525,,,Not looking at Target
236,0.01683934,64.50127,65.11061,,,Not looking at Target
237,0.01629355,64.53944,65.0639,,,Not looking at Target
238,0.01664137,64.67745,65.11954,,,Not looking at Target
239,0.0164922,64.76189,65.12086,,,Not looking at Target
240,0.01656593,64.81872,65.19513,,,Not looking at Target
241,0.0165673,65.00121,65.41604,,,Not looking at Target
242,0.01725167,65.07426,65.53317,,,Not looking at Target
243,0.0160058,65.16213,65.61897,,,Not looking at Target
244,0.01644271,66.05121,66.34311,,,Not looking at Target
245,0.01656696,68.68564,71.68195,,,Not looking at Target
246,0.01688303,68.73311,71.9345,,,Looking at Target
247,0.0162502,68.22748,70.85797,,,Looking at Target
248,0.01656627,68.24075,70.72639,,,Not looking at Target
249,0.0166028,68.40505,70.51344,,,Not looking at Target
250,0.01653078,68.33083,70.98302,,,Looking at Target
251,0.01656627,68.36671,70.95635,,,Looking at Target
252,0.01656832,68.34932,70.72007,,,Not looking at Target
253,0.01722778,68.34319,70.56519,,,Not looking at Target
254,0.01590443,68.37712,70.62551,,,Not looking at Target
255,0.01656627,68.39192,70.57578,,,Not looking at Target
256,0.01656696,68.41882,70.53201,,,Not looking at Target
257,0.01656593,68.48535,70.5434,,,Not looking at Target
258,0.01656832,68.5172,70.55946,,,Not looking at Target
259,0.01671134,68.56962,70.55772,,,Not looking at Target
260,0.01642121,68.58309,70.56839,,,Not looking at Target
261,0.01656662,68.59387,70.55834,,,Not looking at Target
262,0.01690317,68.5948,70.56182,,,Not looking at Target
263,0.01646387,68.59396,70.5347,,,Not looking at Target
264,0.01647036,68.5369,70.59175,,,Not looking at Target
265,0.0169728,68.46819,70.60012,,,Not looking at Target
266,0.01602287,68.43473,70.64271,,,Not looking at Target
267,0.01656593,68.38554,70.75198,,,Not looking at Target
268,0.0165673,68.33411,70.56916,,,Not looking at Target
