ID (frame),Elapsed Time,Angle left eye,Angle right eye,Block seen,Reaction time block,On Target
150,0.02396096,eye closed,eye closed,,,
151,0.02464329,eye closed,eye closed,,,
152,0.02459755,eye closed,eye closed,,,
153,0.02559766,eye closed,eye closed,,,
154,0.02320969,eye closed,eye closed,,,
155,0.02341312,eye closed,eye closed,,,
156,0.02450744,eye closed,eye closed,,,
157,0.02355546,eye closed,eye closed,,,
158,0.02401865,eye closed,eye closed,,,
159,0.02533483,eye closed,eye closed,,,
160,0.02540481,eye closed,eye closed,,,
161,0.02572702,eye closed,eye closed,,,
162,0.02845496,eye closed,eye closed,,,
163,0.02730911,eye closed,eye closed,,,
164,0.02428796,eye closed,eye closed,,,
165,0.02532186,eye closed,eye closed,,,
166,0.02422686,eye closed,eye closed,,,
167,0.02304243,eye closed,eye closed,,,
168,0.02393741,eye closed,eye closed,,,
169,0.02351245,eye closed,eye closed,,,
170,0.02447023,eye closed,eye closed,,,
171,0.02420536,eye closed,eye closed,,,
172,0.02285743,eye closed,eye closed,,,
173,0.02292467,eye closed,eye closed,,,
174,0.02358584,eye closed,eye closed,,,
175,0.02291375,eye closed,eye closed,,,
176,0.02582396,eye closed,eye closed,,,
177,0.03082553,eye closed,eye closed,,,
178,0.02421321,eye closed,eye closed,,,
179,0.02354215,eye closed,eye closed,,,
180,0.02287279,eye closed,eye closed,,,
181,0.02727429,eye closed,eye closed,,,
182,0.02445112,eye closed,eye closed,,,
183,0.02395618,eye closed,eye closed,,,
184,0.02459857,eye closed,eye closed,,,
185,0.02407838,eye closed,eye closed,,,
186,0.02386129,eye closed,eye closed,,,
187,0.02318852,eye closed,eye closed,,,
188,0.02343292,eye closed,eye closed,,,
189,0.02345033,eye closed,eye closed,,,
190,0.02350801,eye closed,eye closed,,,
191,0.02372544,eye closed,eye closed,,,
192,0.02395857,eye closed,eye closed,,,
193,0.02311343,eye closed,eye closed,,,
194,0.02363123,eye closed,eye closed,,,

