ID (frame),Elapsed Time,Angle left eye,Angle right eye,Block seen,Reaction time block,On Target
150,0.0319352,37.39622,42.27337,,,
151,0.03104704,31.74097,34.18601,,,
152,0.02970287,25.36352,28.4643,,,
153,0.03423749,25.41159,28.72624,,,
154,0.03057123,26.06393,28.91279,,,
155,0.02992986,26.38349,29.11105,,,
156,0.03044937,26.56151,29.21423,,,
157,0.03365313,26.82418,29.29657,,,
158,0.02999198,26.90448,29.46902,,,
159,0.03067158,27.27213,29.76511,,,
160,0.03283427,27.28388,29.93711,,,
161,0.03082518,27.63977,30.2236,,,
162,0.03080436,28.01241,30.6149,,,
163,0.02790063,28.47116,31.1284,,,
164,0.03073234,29.08027,31.66897,,,
165,0.06002663,37.34972,40.27168,,,
166,0.02982814,42.32143,43.66085,,,
167,0.02853619,43.16779,44.36186,,,
168,0.02831876,43.14429,44.59322,,,
169,0.02927825,43.04526,44.98995,,,
170,0.02833651,43.77186,45.76342,,,
171,0.02988207,44.66841,46.84872,,,
172,0.03451363,42.16398,44.0658,,,
173,0.03197138,30.55247,33.61156,,,
174,0.02822183,29.53382,31.65712,,,
175,0.02297177,31.298,33.42145,,,
176,0.02805116,33.04819,35.68478,,,
177,0.03232705,35.3513,38.31238,,,
178,0.03068796,37.75847,40.77221,,,
179,0.02871642,39.81236,42.76435,,,
180,0.02688755,41.79164,44.81539,,,
181,0.0421735,44.35453,47.1077,,,
182,0.05222442,47.20245,50.13986,,,
183,0.02902703,48.5892,51.66234,,,
184,0.02955439,48.96927,52.33832,,,
185,0.0280416,48.61534,52.5056,,,
186,0.02957897,48.72998,51.98298,,,
187,0.03440406,59.54688,61.43273,,,
188,0.02768013,70.35571,71.39082,,,
189,0.02880858,79.05712,77.5555,,,
190,0.03131363,80.8654,eye closed,,,
191,0.02904854,78.38331,eye closed,,,
192,0.0237838,73.86324,eye closed,,,
193,0.02909803,62.88531,eye closed,,,
194,0.03037769,49.13408,eye closed,,,
195,0.03126618,38.81249,eye closed,,,
196,0.03569874,35.63543,eye closed,,,
197,0.03902914,27.55119,eye closed,,,
198,0.05917842,15.57282,eye closed,,,
199,0.07656904,12.21858,eye closed,,,
200,0.07735274,48.36285,48.07862,,,
201,0.07687624,73.75548,71.27524,,,
202,0.07584711,84.45364,81.06152,,,
203,0.08156616,85.56389,83.6796,,,
204,0.08555806,83.75159,82.40966,,,
205,0.08241779,77.65131,76.83421,,,
206,0.07744865,96.03619,97.5536,,,
207,0.08725791,eye closed,eye closed,,,
208,0.07217402,eye closed,eye closed,,,
209,0.0616408,11.62747,17.16948,,,
210,0.03932098,6.430109,3.68589,,,
211,0.03506079,13.48141,11.09677,,,
212,0.03381185,29.24268,29.5233,,,
213,0.06441345,38.23034,39.51275,,,
214,0.02800678,54.56227,56.2978,,,
215,0.02341584,57.37293,61.856,,,
216,0.02774362,63.66148,67.9234,,,
217,0.02733265,66.87729,71.28098,,,
218,0.02745997,68.23502,72.84581,,,
219,0.0291936,68.13701,72.81373,,,
220,0.03392961,67.98587,72.60632,,,
221,0.03145972,67.39591,71.79643,,,
222,0.02525393,66.51671,70.63426,,,
223,0.02308202,65.81651,69.82314,,,
224,0.02587106,64.49358,66.9903,,,
225,0.0274685,64.80649,65.65887,,,
226,0.02658069,66.74223,66.20467,,,
227,0.02208021,66.67906,66.15392,,,
228,0.02617485,66.70085,67.29497,,,
229,0.02779823,67.23309,68.89098,,,
230,0.02802829,69.01503,71.08812,,,
231,0.02385651,70.56241,72.46851,,,
232,0.02878161,71.87367,73.63867,,,
233,0.03541407,72.06536,74.1289,,,
234,0.02594615,71.45831,74.35042,,,
235,0.02827576,66.79142,73.67632,,,
236,0.02743812,65.95805,71.67247,,,
237,0.02779413,65.19119,70.53278,,,
238,0.02413606,64.27774,68.91149,,,
239,0.02656806,63.27217,67.99604,,,
240,0.02702067,62.39767,66.88793,,,
241,0.02981995,58.7639,66.67283,,,
242,0.02515665,eye closed,eye closed,,,
243,0.0229192,eye closed,eye closed,,,
244,0.02879629,eye closed,eye closed,,,
245,0.02763883,eye closed,59.6755,,,
246,0.02685069,58.02277,59.85952,,,
247,0.03265677,59.48156,60.95708,,,
248,0.02806618,60.88935,61.71781,,,
249,0.02728316,61.82118,eye closed,,,
250,0.07105172,63.48487,66.94688,,,
251,0.02974349,65.30207,68.79276,,,
252,0.02823309,65.25882,68.64849,,,
253,0.02743027,64.31319,67.66631,,,
254,0.03043333,62.98024,66.34235,,,
255,0.0294595,60.58348,63.06746,,,
256,0.0306272,64.08427,67.85119,,,
257,0.0268838,67.85347,70.36921,,,
258,0.02338649,eye closed,eye closed,,,
259,0.03466109,eye closed,73.01096,,,
260,0.02887377,70.26346,74.39795,,,
261,0.02464601,eye closed,eye closed,,,
262,0.02592636,eye closed,eye closed,,,
263,0.02461563,eye closed,eye closed,,,
264,0.02138013,eye closed,eye closed,,,
265,0.02648409,73.45387,80.17805,,,
266,0.02540616,73.09019,73.79224,,,
267,0.02381964,73.2585,74.37112,,,
268,0.02537544,73.45939,74.69524,,,
269,0.02692202,73.4146,74.84301,,,
270,0.02757704,73.37116,74.81613,,,
271,0.02566387,73.15884,74.33705,,,
272,0.02272601,72.92953,74.08942,,,
273,0.03191779,72.47818,73.74125,,,
274,0.03254277,72.01203,73.18345,,,
275,0.02570756,71.72713,72.657,,,
276,0.02597312,71.41145,72.13594,,,
277,0.02544849,70.95895,71.50417,,,
278,0.02196688,70.47452,70.93268,,,
279,0.0266435,69.88135,70.19419,,,
280,0.02616734,68.78144,69.21774,,,
281,0.02594376,67.56561,67.63284,,,
282,0.02623253,65.92651,66.40226,,,
283,0.02712171,64.69707,65.55348,,,
284,0.02746884,64.14368,65.18114,,,
285,0.03262947,63.85744,65.06428,,,
286,0.02927211,63.59649,64.80238,,,
287,0.05203498,63.24015,64.72723,,,
288,0.02424699,61.54976,63.23927,,,
289,0.02664964,56.48952,61.19813,,,
290,0.02449241,55.21492,58.65732,,,
291,0.02302502,55.19104,58.15771,,,
292,0.02519624,54.87259,57.66194,,,
